Order_ID,Customer_Name,Customer_Email,Product,Category,Unit_Price,Quantity,Order_Date,Region,Shipping_Cost,Payment_Method,Order_Status,Discount_Percentage,Total_Amount
ORD-000019,Samantha Miller,mark35@example.com,Webcam,Electronics,942.74,3,2023-09-23,South,10.5,Bank Transfer,Cancelled,5,2697.31
ORD-000020,Katherine Sandoval,chasepatel@example.org,Webcam,Accessories,522.99,2,2023-07-02,West,21.42,Cash,Completed,10,962.8
ORD-000021,Bryan Cline,shannon55@example.net,Printer,Computers,900.58,2,2024-09-04,East,18.72,Bank Transfer,Pending,15,1549.71
ORD-000022,Samantha Santos,jamesmora@example.org,Keyboard,Accessories,780.23,4,2023-04-01,East,46.35,Cash,Pending,20,2543.09
ORD-000023,Destiny Garrett,gregoryramirez@example.com,Desktop,Computers,298.72,1,2023-01-17,East,7.13,Cash,Shipped,5,290.91
ORD-000024,Anna Mosley,rebecca27@example.org,Mouse,Computers,552.12,9,2023-05-25,North,28.15,Bank Transfer,Pending,20,4003.41
ORD-000025,Juan Bryan,deanstefanie@example.net,Webcam,Electronics,915.39,2,2023-07-26,South,30.05,Bank Transfer,Pending,5,1769.29
ORD-000026,Wanda Brown,yharvey@example.com,Printer,Accessories,369.47,3,2024-03-01,South,47.19,PayPal,Completed,15,989.34
ORD-000027,Joe Jordan,joshuabrennan@example.org,Desktop,Computers,804.05,2,2024-07-08,North,11.53,Cash,Pending,10,1458.82
ORD-000028,Kelli Alvarez,gjones@example.com,Webcam,Electronics,196.55,2,2024-11-14,East,35.8,Bank Transfer,Cancelled,0,428.9
ORD-000029,Calvin Sanchez,rodriguezjeffery@example.com,Printer,Computers,847.77,2,2023-04-24,South,12.19,Cash,Shipped,0,1707.73
ORD-000030,Sara Cooper,kwilliams@example.net,Monitor,Accessories,474.7,7,2023-11-08,South,30.52,Cash,Shipped,20,2688.84
ORD-000031,Courtney Weaver,gonzalezsharon@example.org,Webcam,Mobile,620.25,2,2023-03-13,East,17.33,Credit Card,Cancelled,0,1257.83
ORD-000032,George Evans,luis09@example.org,Monitor,Accessories,829.07,6,2024-05-17,West,37.94,Bank Transfer,Pending,10,4514.92
ORD-000033,Kelly Hutchinson,tallen@example.org,Printer,Electronics,573.93,3,2024-03-19,South,18.67,PayPal,Completed,0,1740.46
ORD-000034,Angel Davis,yhoffman@example.org,Monitor,Electronics,11.71,3,2023-06-19,North,17.97,PayPal,Pending,15,47.83
ORD-000035,Thomas Brown,keithparker@example.net,Monitor,Accessories,104.5,10,2024-02-10,North,16.45,Credit Card,Cancelled,0,1061.45
ORD-000036,Carrie Hunt,beth49@example.net,Webcam,Electronics,639.59,3,2024-01-04,West,49.09,Credit Card,Pending,15,1680.04
ORD-000037,Mr. Christopher Smith,johnsonashley@example.net,Laptop,Electronics,976.9,10,2024-11-12,North,42.24,Credit Card,Shipped,5,9322.79
ORD-000038,Daniel Moore,thomas32@example.com,Tablet,Accessories,862.69,8,2024-01-30,East,49.58,Bank Transfer,Shipped,15,5915.87
ORD-000039,Jennifer Woodward,probinson@example.com,Mouse,Accessories,881.47,1,2024-06-17,East,11.68,Credit Card,Completed,5,849.08
ORD-000040,Carrie Lee,carlsonrobert@example.org,Tablet,Accessories,815.82,10,2024-12-19,North,8.22,PayPal,Shipped,5,7758.51
ORD-000041,Carol Cordova,carla01@example.com,Webcam,Accessories,719.03,8,2023-05-09,South,35.77,Cash,Cancelled,15,4925.17
ORD-000042,Ashley Martin,marcus71@example.net,Smartphone,Mobile,718.86,3,2023-11-15,East,15.73,Cash,Cancelled,20,1740.99
ORD-000043,William Campbell,ashley01@example.com,Webcam,Mobile,159.03,1,2024-01-24,North,27.81,Credit Card,Shipped,15,162.99
ORD-000044,Megan Hernandez,wallacechristian@example.org,Mouse,Mobile,86.57,8,2024-04-25,West,31.04,Cash,Completed,15,619.72
ORD-000045,Katherine Hester,janet61@example.net,Tablet,Mobile,803.07,1,2024-04-03,South,15.25,PayPal,Cancelled,10,738.01
ORD-000046,Travis Shields,benjamin34@example.org,Smartphone,Computers,819.63,4,2024-06-25,South,17.83,PayPal,Shipped,0,3296.35
ORD-000047,Michael Buchanan,fnguyen@example.net,Monitor,Accessories,603.32,5,2024-07-02,South,27.64,Bank Transfer,Pending,15,2591.75
ORD-000048,Lisa Robinson,marissa67@example.org,Tablet,Electronics,296.55,2,2023-11-28,South,20.67,Credit Card,Cancelled,15,524.8
ORD-000049,Alicia Schmidt,brenthartman@example.net,Smartphone,Mobile,411.21,4,2023-03-26,East,45.84,Credit Card,Pending,15,1443.95
ORD-000050,Christina Lozano,sabrina68@example.com,Smartphone,Computers,529.08,6,2023-08-06,East,31.2,PayPal,Shipped,0,3205.68
ORD-000051,Margaret Lopez,cramos@example.com,Tablet,Computers,162.46,5,2023-06-07,North,48.33,Cash,Completed,0,860.63
ORD-000052,Tiffany Clark,normansue@example.net,Desktop,Accessories,547.4,3,2024-01-09,East,19.1,Cash,Cancelled,15,1414.97
ORD-000053,Jeremy Edwards,erindavis@example.org,Mouse,Electronics,608.57,1,2023-09-01,East,8.73,Credit Card,Pending,0,617.3
ORD-000054,Julie Greer,diane88@example.org,Headphones,Mobile,427.75,10,2023-06-20,South,11.33,Bank Transfer,Completed,20,3433.33
ORD-000055,Robert Diaz,emassey@example.net,Webcam,Mobile,870.49,9,2023-08-20,East,22.77,PayPal,Shipped,10,7073.74
ORD-000056,Jennifer Washington,barryalison@example.net,Monitor,Computers,438.27,6,2023-03-07,South,10.28,Credit Card,Shipped,20,2113.98
ORD-000057,Alison Scott,judy25@example.org,Desktop,Computers,966.86,5,2024-01-20,East,20.72,PayPal,Cancelled,5,4613.3
ORD-000058,Dylan Williams,emartin@example.com,Keyboard,Electronics,932.62,7,2023-01-24,West,40.48,Credit Card,Pending,5,6242.4
ORD-000059,James Ellison,alyssasmith@example.net,Mouse,Accessories,883.87,8,2024-02-04,North,10.35,Bank Transfer,Completed,10,6374.21
ORD-000060,Derrick Luna,hammondmichael@example.com,Tablet,Electronics,399.66,8,2024-11-03,East,10.05,Bank Transfer,Cancelled,0,3207.33
ORD-000061,Kenneth Carter,vernonbrown@example.net,Desktop,Accessories,473.84,5,2024-07-08,South,24.73,Bank Transfer,Cancelled,0,2393.93
ORD-000062,Lisa Burns,julie55@example.org,Printer,Mobile,208.34,7,2023-10-01,West,46.17,PayPal,Completed,0,1504.55
ORD-000063,Jessica Anderson,kimberly94@example.net,Monitor,Mobile,868.58,1,2023-11-05,North,35.17,PayPal,Pending,20,730.03
ORD-000064,Rebecca Ellis,amber04@example.org,Webcam,Mobile,404.29,3,2024-05-17,South,14.04,Credit Card,Cancelled,5,1166.27
ORD-000065,Samantha Turner,arush@example.org,Keyboard,Accessories,384.17,7,2024-11-14,South,26.05,Bank Transfer,Shipped,10,2446.32
ORD-000066,Travis Sanchez,dabbott@example.net,Tablet,Accessories,632.95,3,2024-09-13,South,12.94,Bank Transfer,Shipped,10,1721.91
ORD-000067,Stephen Williamson,jowen@example.net,Webcam,Electronics,475.11,6,2023-10-08,North,22.34,Cash,Shipped,5,2730.47
ORD-000068,Michael Vaughan PhD,bookerpaul@example.net,Mouse,Computers,703.51,8,2023-10-28,North,22.54,Bank Transfer,Cancelled,15,4806.41
ORD-000069,John Clements,teresabishop@example.net,Keyboard,Computers,632.2,9,2023-04-12,South,16.78,PayPal,Completed,10,5137.6
ORD-000070,Colin Delgado,karenwilson@example.net,Smartphone,Computers,164.96,9,2023-01-28,North,27.98,PayPal,Shipped,15,1289.92
ORD-000071,Julie Hurst,ruthwyatt@example.org,Desktop,Computers,422.81,6,2023-01-03,East,29.03,Credit Card,Pending,10,2312.2
ORD-000072,Troy Morales,haynesrobert@example.net,Smartphone,Computers,424.07,4,2023-09-14,West,20.53,Credit Card,Pending,0,1716.81
ORD-000073,Tony Bailey,maddencarlos@example.com,Smartphone,Mobile,131.81,6,2024-07-06,North,49.73,Cash,Shipped,0,840.59
ORD-000074,Jill Taylor,debrafletcher@example.net,Monitor,Accessories,205.94,9,2023-11-03,West,39.12,Bank Transfer,Shipped,0,1892.58
ORD-000075,Denise Mccarty,blankenshipcheryl@example.org,Monitor,Electronics,686.54,10,2024-11-07,South,33.99,Cash,Completed,5,6556.12
ORD-000076,Miss Laura Garcia,prestonjoshua@example.org,Keyboard,Electronics,316.45,3,2024-02-16,North,41.07,Credit Card,Cancelled,0,990.42
ORD-000077,Kristen Chandler,vleonard@example.net,Laptop,Computers,607.51,7,2024-12-08,West,33.0,PayPal,Cancelled,15,3647.68
ORD-000078,William Williams,mmarshall@example.net,Webcam,Accessories,825.81,1,2024-01-31,South,41.75,PayPal,Completed,20,702.4
ORD-000079,John Watson,baileyhunter@example.com,Keyboard,Computers,653.22,8,2024-12-11,East,17.78,PayPal,Completed,5,4982.25
ORD-000080,Michael Waters,debra64@example.org,Headphones,Accessories,569.99,9,2024-03-31,South,36.37,Bank Transfer,Pending,20,4140.3
ORD-000081,Alexander Romero,thomaslee@example.net,Printer,Electronics,546.08,3,2024-08-01,West,14.24,Cash,Shipped,20,1324.83
ORD-000082,Mr. Eric Mcmillan,qbishop@example.org,Desktop,Mobile,870.87,2,2024-02-26,North,21.89,Bank Transfer,Pending,20,1415.28
ORD-000083,William Jackson,opeterson@example.net,Smartphone,Electronics,378.8,2,2024-01-26,North,29.28,PayPal,Shipped,0,786.88
ORD-000084,Laura Huang,jessicajenkins@example.org,Printer,Electronics,428.82,1,2023-03-22,East,21.22,Credit Card,Pending,20,364.28
ORD-000085,Tina James PhD,jenna47@example.com,Smartphone,Electronics,690.26,8,2024-08-05,South,33.4,Credit Card,Pending,15,4727.17
ORD-000086,Jesse Logan,robert51@example.net,Headphones,Electronics,196.32,6,2023-10-26,South,12.83,Cash,Cancelled,5,1131.85
ORD-000087,Kevin Wilson,serranostacey@example.org,Desktop,Mobile,571.2,10,2023-11-06,North,20.31,Cash,Cancelled,10,5161.11
ORD-000088,Shannon Edwards,carlos58@example.net,Monitor,Computers,253.22,3,2024-10-02,North,36.0,PayPal,Shipped,0,795.66
ORD-000089,Patrick Rose,vrogers@example.com,Laptop,Mobile,867.64,10,2024-03-08,West,43.45,Cash,Completed,20,6984.57
ORD-000090,Glen Erickson,russellalvarado@example.com,Laptop,Electronics,434.45,8,2024-09-18,West,10.55,Bank Transfer,Cancelled,5,3312.37
ORD-000091,Lisa Howell,edwardsedward@example.com,Keyboard,Computers,888.25,4,2024-08-06,West,14.29,Credit Card,Pending,5,3389.64
ORD-000092,Ivan Deleon,mcdonaldrhonda@example.net,Headphones,Electronics,702.65,1,2024-10-09,West,8.67,Credit Card,Completed,0,711.32
ORD-000093,William Gonzales,pcrane@example.com,Headphones,Accessories,46.81,8,2024-01-17,South,11.9,PayPal,Shipped,20,311.48
ORD-000094,Kenneth Tran,daniel88@example.com,Webcam,Electronics,100.13,3,2024-12-14,West,22.04,Credit Card,Cancelled,20,262.35
ORD-000095,Michelle Nguyen,russell43@example.com,Desktop,Accessories,329.87,4,2024-04-27,East,49.0,PayPal,Completed,10,1236.53
ORD-000096,Eric Villarreal,eyu@example.net,Headphones,Accessories,342.24,3,2024-06-16,North,47.73,Bank Transfer,Pending,0,1074.45
ORD-000097,Jesse Davis,lisa75@example.org,Headphones,Accessories,517.13,4,2023-07-20,East,39.75,Credit Card,Cancelled,10,1901.42
ORD-000098,Mary Hamilton,bakerjason@example.com,Webcam,Mobile,139.21,4,2023-03-26,South,7.53,Bank Transfer,Cancelled,20,453.0
ORD-000099,Joseph Soto,wardbrenda@example.net,Printer,Electronics,130.17,3,2023-02-08,West,16.16,Cash,Cancelled,0,406.67
ORD-000100,Rose Hopkins,william90@example.org,Smartphone,Accessories,831.34,9,2024-04-03,West,9.12,Credit Card,Completed,5,7117.08
